accx,accy,accz,gyrx,gyry,gyrz
1.8284421999999998,8.231447,1.0232626,0.11477285,-2.540728,-2.1355847999999997
2.4731624,7.4158387,1.2172313,0.027471482999999998,-2.5423164000000003,-2.0541303
3.0571754,6.740473,1.2843072,-0.07098254,-2.3980648999999996,-1.9519238
3.6392536,6.876616499999999,1.182841,-0.13220869,-2.0972923999999997,-1.8624932
4.3607607,7.741057400000001,1.0581605,-0.1471138,-1.6799491999999998,-1.8731397
4.8956256,8.282577999999999,0.93184245,-0.218969,-1.223755,-1.9231783
4.8526063,8.551867999999999,0.9212218000000001,-0.3414213,-0.8585798000000001,-1.9029499
3.9121256,8.333316,0.7495288,-0.57512087,-0.9107476999999999,-1.7565691000000003
3.5977572999999996,7.535855000000001,1.0855598,-0.7827278,-1.4893767,-1.5798371
3.7111468,7.3146119999999994,1.5606269,-0.8939575999999999,-1.7933433,-1.3743595
3.9223727999999998,8.897675999999999,1.613577,-0.91046846,-1.6671734,-1.1406598999999997
2.897434,10.8046875,1.7530345,-0.8088029999999999,-1.477142,-0.8446870000000001
1.6958418000000002,11.381346,2.4916553,-0.5287824000000001,-1.2902870000000002,-0.42893213
0.9080728000000001,11.402041,3.0880318,-0.10772172,-0.8569741,0.08951793599999999
0.8478539,11.262382,3.0038993,0.28244662,-0.39278635,0.5994857
1.2653548000000001,11.083755499999999,2.5257392000000003,0.5470210999999999,-0.038257618,1.0045940999999998
1.6817831,11.131438000000001,1.6886879000000001,0.66572094,0.3630983,1.4091613
2.2848728,11.113425,0.9106201999999999,0.69287825,0.8331329,1.7887006999999997
2.7354522,11.521952,0.5366651,0.7312057,1.4511714,2.0750918
2.7544717999999997,13.278425,-0.010448296999999999,0.7498458,2.1772633,2.3732113999999997
2.6666236,15.767848999999998,-0.6405926,0.7359879,2.7298172000000003,2.6047642000000004
2.1591678,16.71625,-1.0570017,0.6401693,2.9033550999999997,2.7074943
1.2910110000000001,14.637556,-0.47812206,0.54913294,2.7958255000000003,2.7623327
0.90987325,11.588607000000001,0.17557159,0.5161287999999999,2.5397682,2.7878667999999998
0.79249036,8.978994,0.2611595,0.47143087,2.2725408,2.790537
0.63590956,6.855844,0.27193344,0.39636427,2.1926919999999996,2.8522868
0.48739243,6.365531400000001,0.13761872,0.33995524,2.2885106,2.9720687999999997
0.7694294,7.058173700000001,0.30850726,0.37987092,2.4806888,3.0386182999999996
