accx,accy,accz
11.920271,-1.1490731,-2.889198
10.847227,-0.3335027,-3.3883986
14.569561,-0.8571338,-1.606538
15.345492,0.5514038,-2.6153588
12.383501,1.0723726,-1.7150625
10.944882,1.551845,-0.35111448
9.891318,2.3758717,1.052175
9.688664,2.106457,0.21185812
10.270311,0.36279815,-0.571065
10.600806,-0.63190645,-0.44969812
10.36968,-0.40752184,0.17198987
9.541593,-0.08094317,0.2592537
8.533251,-0.78076833,-0.21966322
8.042727,-1.2618017,-0.56045383
7.7713294,-1.1962677,-0.7970968
7.7793455,-0.7978629,-0.86726606
7.7668667,-0.5781231,-0.85000867
8.018824,-0.5168507,-0.7113939
7.901009,-0.95240384,-0.7740263
7.961803,-1.0566092,-1.1846606
7.880879,-0.9844191,-1.6724265
7.707577,-0.8972415,-1.8803676
7.437166,-0.70658636,-2.4116218
7.8924956,-0.4928129,-2.4840322
9.48032,0.09646718,-2.7805395
10.494859,0.9113289,-2.9468696
10.845906,0.760341,-3.9990063
10.40046,1.0111289,-4.7447047
10.77929,1.237266,-4.182527
13.065407,0.901733,-4.8941984
14.883306,-1.0871112,-1.2145785
13.839204,-0.9640684,2.5640655
10.616005,-0.25689784,2.4792247
8.815863,-1.0328299,1.5085961
9.1259985,-1.4588447,0.014585477
10.752389,-1.3985298,-0.009203311
11.292837,-1.0128814,0.32836
11.22916,-0.62042385,0.12258313
10.784442,-0.12483368,-0.56728214
9.830525,0.7479678,-1.2600778
8.905942,1.077429,-1.7898287
8.220999,0.81015956,-1.654039
7.980295,0.7483125,-1.5699548
7.6907215,0.35429397,-1.6884102
7.5565796,0.4695221,-1.7552946
7.5917454,0.99209017,-1.7045662
7.7757635,1.504478,-1.8044716
8.03586,1.5749059,-2.1088321
8.291696,1.4418266,-2.6387837
8.040956,1.1137347,-3.320183
7.9270005,0.6394051,-2.8427315
8.521864,0.34323275,-2.3730946
9.730792,0.15227123,-2.350809
11.419049,0.28355965,-2.0325336
11.166604,0.67665887,-2.8571446
12.864907,-0.72444713,-1.9640977
15.039886,-1.1876293,-1.1527219
12.216816,-0.298126,-0.8359882
11.443987,0.42077616,0.0469072
11.294196,2.0640223,1.2099528
10.818392,3.1917963,0.1504708
11.159948,1.4043334,-0.43453804
11.372123,-0.21734563,-1.0287502
10.579757,-0.9929329,-0.3396989
9.570784,-0.6776932,-0.04550899
8.533893,-0.68055665,-0.439087
